"","name","wilcoxP","cdEst","cdMag"
"365","MikuMikuStudio",5.57547140232988e-07,0.155651983344291,"small"
"366","MineChem",0.180891866823895,-0.0434845496383958,"negligible"
"367","Minecraft-CommandsEX",0.13694304837112,0.0452136752136752,"negligible"
"368","mingw-w64",0.994429865092583,-0.00125794433486741,"negligible"
"369","mktc-platform",1.00371435131012e-28,0.34761560376945,"medium"
"370","mlt",0.74895503054481,0.00856892395353933,"negligible"
"371","moai-dev",0.86287582208368,-0.00690335305719921,"negligible"
"372","mobicents",4.25442692563588e-08,0.170565417488494,"small"
"373","molgenis_apps-legacy",0.159928329022389,-0.0455971948279641,"negligible"
"374","mona",0.306561138028483,0.0306202060048214,"negligible"
"375","monodroid-samples",0.663817504488963,0.0121696252465483,"negligible"
"376","morphia",2.41785996552796e-15,0.247087442472058,"small"
"377","MosesLabelFeats",0.0769817085578771,0.0540412009642779,"negligible"
"378","motech-server-pillreminder-0",0.942787663720415,0.000777996931843083,"negligible"
"379","mozilla",0.559095445027819,0.0168639053254438,"negligible"
"380","mpicbg",0.426359763190362,0.0234933158010081,"negligible"
"381","mucommander",6.44491125655031e-06,-0.143098838483454,"negligible"
"382","munin",0.0686322751147805,0.0556826649134341,"negligible"
"383","mupdf",0.000199337265032784,0.115299145299145,"negligible"
"384","mupen64plus-ae",0.611585589216503,0.0144641683103222,"negligible"
"385","mwlib",0.725368353877442,0.00955073416611878,"negligible"
"386","my-openssh",8.80984851737279e-11,0.202136752136752,"small"
"387","my_OpenPilot_mods",1.30625860228576e-06,0.150425158886697,"small"
"388","myfaces",0.10137893756332,0.0499517861056323,"negligible"
"389","myMed",0.000639980224031375,0.105708963401271,"negligible"
"390","Nantes-1900-Maven",2.5166217736254e-17,0.264321718167872,"small"
"391","nar-maven-plugin",1.74000563905526e-90,0.631759807144422,"large"
"392","narya",5.32926620245062e-09,0.181748849441157,"small"
"393","nativelibs4java",5.03840744381271e-06,0.141777339469647,"negligible"
"394","navit-webos",0.0369047721200293,-0.0669910146833224,"negligible"
"395","NEFS",0.968926253979822,-0.00270436116589963,"negligible"
"396","neo4j-enterprise",0.127057710183772,0.0464212141135218,"negligible"
"397","nessDB",0.288562751743775,-0.0347950909489371,"negligible"
"398","netboot",7.06561543045069e-09,0.180267367959676,"small"
"399","netcdf-mirror",0.0831932939276865,-0.0558667543282928,"negligible"
"400","NewsBlur",1.02047819734903e-11,0.212103879026956,"small"
"401","nexus-core",0.633991130875199,0.0134714003944773,"negligible"
"402","ngrinder",2.63558837580312e-13,0.228062678062678,"small"
"403","nixos",0.766055703772474,0.00786763094455402,"negligible"
"404","nmap",0.402803234343514,0.0247885163269779,"negligible"
